A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
13.73	0.122	0.74	0.47163	0.833441	0.54	0.47163	0	ILMN_1343291	ILMN_1343291	EEF1A1
10.75	0.478	2.52	0.02234	0.301083	6.33	0.02234	0	ILMN_1343295	ILMN_1343295	GAPDH
0.47	0.156	0.37	0.71921	0.934035	0.13	0.71921	0	ILMN_1651199	ILMN_1651199	NA
1.26	1.021	1.6	0.12775	0.600311	2.57	0.12775	0	ILMN_1651209	ILMN_1651209	SLC35E2
1.26	-0.599	-1	0.32983	0.793033	1.01	0.32983	0	ILMN_1651210	ILMN_1651210	NA
2.06	-0.008	-0.01	0.98991	0.997158	0	0.98991	0	ILMN_1651221	ILMN_1651221	EFCAB1
12.03	-0.038	-0.25	0.8045	0.954852	0.06	0.8045	0	ILMN_1651228	ILMN_1651228	RPS28
5.89	-0.557	-1.91	0.07344	0.494263	3.65	0.07344	0	ILMN_1651229	ILMN_1651229	IPO13
0.76	0.125	0.32	0.75016	0.946176	0.1	0.75016	0	ILMN_1651230	ILMN_1651230	PRSS41
2.03	-0.597	-1.15	0.2655	0.743865	1.33	0.2655	0	ILMN_1651232	ILMN_1651232	FAM86FP
0.32	0.237	0.69	0.49784	0.846393	0.48	0.49784	0	ILMN_1651235	ILMN_1651235	AFAP1
5.6	0.702	0.95	0.35454	0.79802	0.91	0.35454	0	ILMN_1651237	ILMN_1651237	CDT1
0.06	0.124	0.72	0.48393	0.840702	0.51	0.48393	0	ILMN_1651238	ILMN_1651238	TRPV1
0.36	0.639	1.91	0.07341	0.494263	3.65	0.07341	0	ILMN_1651249	ILMN_1651249	PDE4DIP
1.11	0.648	1.28	0.21663	0.693832	1.65	0.21663	0	ILMN_1651253	ILMN_1651253	WIPF3
9.84	-0.113	-0.57	0.5752	0.880922	0.33	0.5752	0	ILMN_1651254	ILMN_1651254	LPP
4.31	-0.173	-0.64	0.52977	0.860956	0.41	0.52977	0	ILMN_1651259	ILMN_1651259	UGP2
10.47	-0.02	-0.1	0.91964	0.985693	0.01	0.91964	0	ILMN_1651262	ILMN_1651262	HNRNPAB
1.23	1.388	2.27	0.03702	0.382349	5.13	0.03702	0	ILMN_1651268	ILMN_1651268	BORCS5
6.82	0.164	1.07	0.30157	0.773959	1.14	0.30157	0	ILMN_1651278	ILMN_1651278	SNIP1
2.51	0.98	2.31	0.034	0.366968	5.33	0.034	0	ILMN_1651279	ILMN_1651279	NA
0.33	0.134	0.35	0.72784	0.936715	0.13	0.72784	0	ILMN_1651281	ILMN_1651281	C8orf89
7.52	3.75	6.72	0	0.005073	45.21	0	1	ILMN_1651282	ILMN_1651282	COL17A1
7.51	0.948	2.69	0.01568	0.257735	7.23	0.01568	0	ILMN_1651285	ILMN_1651285	BCL6B
0.71	1.194	2.21	0.04118	0.403317	4.89	0.04118	0	ILMN_1651286	ILMN_1651286	GRHL1
