A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
-0.1	-0.062	-0.68	0.50775	0.840006	0.46	0.50775	0	A_23_P80353	3	L3MBTL2
-0.16	-0.134	-1.43	0.17333	0.601974	2.05	0.17333	0	A_23_P158231	4	APBA2
-0.04	0.041	0.48	0.6416	0.89488	0.23	0.6416	0	A_32_P223017	5	MAP3K6
-0.42	-0.026	-0.19	0.85579	0.964733	0.03	0.85579	0	A_24_P935782	6	ZNF121
-0.21	0.224	1.06	0.30561	0.721188	1.13	0.30561	0	A_24_P343695	8	RET
-0.11	-0.021	-0.22	0.82558	0.955557	0.05	0.82558	0	A_32_P109901	9	NA
-0.08	0.007	0.13	0.90122	0.977352	0.02	0.90122	0	A_32_P158786	10	NA
0.07	0.158	2.65	0.01873	0.321186	7.02	0.01873	0	A_23_P15864	12	MBD2
-0.16	0.097	0.52	0.6144	0.884089	0.27	0.6144	0	A_32_P171530	13	LIFR-AS1
-0.1	0.089	0.44	0.66458	0.902007	0.2	0.66458	0	A_24_P925413	15	CMYA5
-0.35	-0.005	-0.02	0.98095	0.99605	0	0.98095	0	A_24_P305993	16	DEUP1
-0.1	0.028	0.39	0.70581	0.916812	0.15	0.70581	0	A_24_P166931	17	MIGA2
-0.06	-0.011	-0.27	0.79338	0.944976	0.07	0.79338	0	A_23_P29067	18	TMPRSS2
0.11	0.193	3.22	0.00599	0.238802	10.39	0.00599	0	A_32_P58999	19	NA
-0.09	0.127	1.19	0.25312	0.67975	1.42	0.25312	0	A_23_P218608	20	EIF5B
-0.21	-0.035	-0.16	0.87358	0.969692	0.03	0.87358	0	A_32_P188127	22	NA
-0.01	-0.005	-0.1	0.92455	0.983499	0.01	0.92455	0	A_23_P148798	23	UCHL5
-0.06	0.022	0.76	0.46072	0.816002	0.57	0.46072	0	A_24_P920188	24	NA
0.05	0.212	2.15	0.04909	0.415249	4.62	0.04909	0	A_24_P220058	25	MAPRE1
-0.02	-0.013	-0.25	0.80788	0.949614	0.06	0.80788	0	A_24_P365523	26	FOXA2
-0.05	-0.067	-0.42	0.67793	0.906709	0.18	0.67793	0	A_23_P153320	27	ICAM1
-0.12	0.195	1.35	0.19692	0.627106	1.83	0.19692	0	A_24_P287826	29	RFWD3
-0.31	0.19	0.84	0.41376	0.790942	0.71	0.41376	0	A_23_P87678	30	EPYC
-0.13	-0.148	-2.43	0.02906	0.358576	5.88	0.02906	0	A_23_P120504	31	TMEM74B
0.02	0.195	0.6	0.55658	0.861444	0.36	0.55658	0	A_32_P159668	32	NA
-0.14	0.022	0.12	0.90317	0.97787	0.02	0.90317	0	A_24_P318939	33	ZNF337
-0.08	0.092	0.6	0.55485	0.860714	0.37	0.55485	0	A_32_P122907	34	NA
-0.1	0.192	1.07	0.30323	0.718791	1.14	0.30323	0	A_23_P327643	36	SMC4
-0.18	-0.075	-0.41	0.68874	0.910523	0.17	0.68874	0	A_23_P211110	37	SIM2
-0.06	-0.251	-1.17	0.26045	0.686154	1.37	0.26045	0	A_24_P279870	38	PDYN
-0.02	-0.044	-0.73	0.47904	0.826448	0.53	0.47904	0	A_24_P252223	39	SLC22A23
-0.07	-0.101	-0.94	0.3647	0.760882	0.88	0.3647	0	A_23_P202484	40	ZNF503
-0.08	-0.164	-2.81	0.0136	0.295619	7.91	0.0136	0	A_23_P422851	41	CABLES1
