A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
9.92	0.293	0.46	0.64533	0.954016	0.21	0.64533	0	ILMN_1343289	ILMN_1343289	RPS9
11.02	0.409	0.56	0.57576	0.941567	0.32	0.57576	0	ILMN_1343290	ILMN_1343290	UBC
11.74	0.495	0.59	0.55746	0.939042	0.35	0.55746	0	ILMN_1343291	ILMN_1343291	EEF1A1
8.66	0.183	0.38	0.70128	0.962687	0.15	0.70128	0	ILMN_1343292	ILMN_1343292	TUBB2A
9.44	0.322	0.57	0.56981	0.941059	0.33	0.56981	0	ILMN_1343293	ILMN_1343293	TXN
11.47	0.471	0.6	0.55122	0.937803	0.36	0.55122	0	ILMN_1343294	ILMN_1343294	ACTB
9.32	0.472	0.83	0.40914	0.900864	0.69	0.40914	0	ILMN_1343295	ILMN_1343295	GAPDH
5.55	-0.006	-0.27	0.7849	0.975551	0.07	0.7849	0	ILMN_1651199	ILMN_1651199	NA
5.78	0.064	2.24	0.02743	0.445854	5.02	0.02743	0	ILMN_1651209	ILMN_1651209	SLC35E2
5.58	0.023	1.19	0.23663	0.81955	1.42	0.23663	0	ILMN_1651210	ILMN_1651210	NA
5.87	0.003	0.08	0.93273	0.992616	0.01	0.93273	0	ILMN_1651217	ILMN_1651217	PDCD1LG2
5.71	-0.006	-0.26	0.79586	0.976813	0.07	0.79586	0	ILMN_1651221	ILMN_1651221	EFCAB1
11.9	0.134	0.53	0.59829	0.945837	0.28	0.59829	0	ILMN_1651228	ILMN_1651228	RPS28
7.42	-0.096	-2.13	0.03576	0.488065	4.54	0.03576	0	ILMN_1651229	ILMN_1651229	IPO13
5.71	-0.072	-2.67	0.00895	0.280693	7.12	0.00895	0	ILMN_1651232	ILMN_1651232	FAM86FP
5.48	0.01	0.5	0.61681	0.949244	0.25	0.61681	0	ILMN_1651234	ILMN_1651234	SYT14
5.65	0.016	0.89	0.37549	0.889646	0.79	0.37549	0	ILMN_1651235	ILMN_1651235	AFAP1
5.73	0.019	0.62	0.53646	0.934765	0.38	0.53646	0	ILMN_1651236	ILMN_1651236	NA
6.61	-0.047	-0.64	0.52487	0.932095	0.41	0.52487	0	ILMN_1651237	ILMN_1651237	CDT1
5.56	0.059	2.68	0.00861	0.274827	7.2	0.00861	0	ILMN_1651238	ILMN_1651238	TRPV1
5.39	-0.01	-0.52	0.60674	0.947213	0.27	0.60674	0	ILMN_1651249	ILMN_1651249	PDE4DIP
5.61	0.015	0.76	0.44914	0.910881	0.58	0.44914	0	ILMN_1651253	ILMN_1651253	WIPF3
9.85	-0.005	-0.08	0.93792	0.992923	0.01	0.93792	0	ILMN_1651254	ILMN_1651254	LPP
6.2	-0.083	-2.39	0.01892	0.384452	5.7	0.01892	0	ILMN_1651259	ILMN_1651259	UGP2
5.57	0.038	1.56	0.12297	0.705377	2.42	0.12297	0	ILMN_1651260	ILMN_1651260	CCNE2
7.28	-0.317	-2.78	0.00654	0.239895	7.73	0.00654	0	ILMN_1651261	ILMN_1651261	RSU1
10.73	-0.017	-0.48	0.63304	0.951552	0.23	0.63304	0	ILMN_1651262	ILMN_1651262	HNRNPAB
6.33	0.091	1.07	0.28772	0.847867	1.14	0.28772	0	ILMN_1651268	ILMN_1651268	BORCS5
7.94	0.02	0.47	0.64246	0.953623	0.22	0.64246	0	ILMN_1651278	ILMN_1651278	SNIP1
5.67	0.027	1.16	0.24822	0.827786	1.35	0.24822	0	ILMN_1651279	ILMN_1651279	NA
5.57	-0.002	-0.06	0.95145	0.994372	0	0.95145	0	ILMN_1651281	ILMN_1651281	C8orf89
10.14	0.308	1.55	0.12419	0.707802	2.41	0.12419	0	ILMN_1651282	ILMN_1651282	COL17A1
6.93	-0.021	-0.25	0.80044	0.97734	0.06	0.80044	0	ILMN_1651286	ILMN_1651286	GRHL1
5.8	0.008	0.34	0.73161	0.966953	0.12	0.73161	0	ILMN_1651288	ILMN_1651288	NA
