A	Coef	t	p.value	p.value.adj	F	F.p.value	PEvsC	Genes.PROBEID	Genes.ENTREZID	Genes.SYMBOL
1.5	0.152	0.93	0.35924	0.699673	0.86	0.35924	0	NA	NA	NA
2.24	0.027	0.17	0.86387	0.955457	0.03	0.86387	0	NA	NA	NA
2.27	-0.006	-0.02	0.98183	0.993328	0	0.98183	0	NA	NA	NA
2.23	0.231	1.6	0.11738	0.46656	2.57	0.11738	0	NA	NA	NA
1.35	-0.175	-0.97	0.33956	0.684863	0.94	0.33956	0	NA	NA	NA
1.6	-0.065	-0.4	0.68821	0.88454	0.16	0.68821	0	NA	NA	NA
1.52	0.07	0.52	0.60621	0.846855	0.27	0.60621	0	NA	NA	NA
2.52	0.574	1.89	0.06593	0.382168	3.58	0.06593	0	NA	NA	NA
3.27	0.281	0.63	0.53497	0.810289	0.39	0.53497	0	NA	NA	NA
2.71	-0.279	-1.54	0.13072	0.48441	2.39	0.13072	0	NA	NA	NA
1.6	-0.181	-1.06	0.29385	0.64816	1.13	0.29385	0	NA	NA	NA
2.41	-0.125	-0.58	0.5686	0.828387	0.33	0.5686	0	NA	NA	NA
1.43	-0.209	-0.95	0.34568	0.689626	0.91	0.34568	0	NA	NA	NA
1.37	-0.307	-1.91	0.06382	0.377641	3.64	0.06382	0	NA	NA	NA
2.63	0.21	1.06	0.29542	0.649784	1.13	0.29542	0	NA	NA	NA
1.35	-0.114	-0.55	0.58302	0.835237	0.31	0.58302	0	NA	NA	NA
1.44	-0.247	-1.32	0.19579	0.559613	1.73	0.19579	0	NA	NA	NA
4.39	0.492	2.47	0.01811	0.262268	6.1	0.01811	0	NA	NA	NA
5.3	0.141	0.7	0.4876	0.783752	0.49	0.4876	0	NA	NA	NA
2.01	-0.033	-0.19	0.84876	0.950185	0.04	0.84876	0	NA	NA	NA
2.32	0.406	1.68	0.10075	0.440072	2.83	0.10075	0	NA	NA	NA
2.39	-0.008	-0.04	0.97006	0.99029	0	0.97006	0	NA	NA	NA
2.8	-0.114	-0.38	0.70526	0.892015	0.15	0.70526	0	NA	NA	NA
5.38	0.337	1.38	0.17591	0.537239	1.9	0.17591	0	NA	NA	NA
1.65	0.22	1.5	0.14303	0.500686	2.24	0.14303	0	NA	NA	NA
4	-0.291	-1.73	0.09138	0.42509	3	0.09138	0	NA	NA	NA
4.26	0.073	0.25	0.80106	0.93325	0.06	0.80106	0	NA	NA	NA
