A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
7.43	-0.208	-1.03	0.31052	0.55153	1.05	0.31052	0	Celera Transcript hCT2347149	100003	NA
7.48	0.162	0.69	0.49426	0.708695	0.47	0.49426	0	NA	100027	ZNF192
13.01	0.142	0.59	0.55738	0.755468	0.35	0.55738	0	NA	100037	UBE2I
10.23	-0.789	-2.01	0.05061	0.188412	4.03	0.05061	0	NA	100039	ANAPC7
7.86	0.566	2.83	0.00698	0.052961	7.99	0.00698	0	Celera hCG36953.3	100044	NA
8.19	-0.12	-0.52	0.60528	0.78841	0.27	0.60528	0	Celera hCG1776836.3	100045	NA
7.84	-0.038	-0.21	0.83484	0.922457	0.04	0.83484	0	Celera Transcript hCT1642591.3	100051	NA
7.74	0.492	2.52	0.01551	0.088172	6.33	0.01551	0	NA	100052	CAMK1G
10.8	-0.664	-2.63	0.01154	0.073312	6.93	0.01154	0	NA	100057	LOC493861
14.67	0.224	1.76	0.08539	0.259947	3.09	0.08539	0	NA	100058	MGC2963
8.61	0.674	2.78	0.00786	0.057054	7.74	0.00786	0	NA	100060	ZMYND12
8.62	0.063	0.35	0.72449	0.863459	0.13	0.72449	0	NA	100062	APOBEC3F
7.9	0.077	0.41	0.68238	0.839424	0.17	0.68238	0	NA	100064	EREG
14.52	-0.532	-2.75	0.00857	0.060397	7.55	0.00857	0	NA	100079	HSPD1
11.94	-0.308	-2.74	0.00883	0.061454	7.49	0.00883	0	NA	100089	C14orf114
14.5	0.151	1.19	0.23842	0.476518	1.43	0.23842	0	NA	100093	GLI3
8.17	0.221	1.31	0.19548	0.42408	1.73	0.19548	0	Celera Transcript hCT1960466.1	100095	NA
14.1	-0.157	-2.18	0.03424	0.147102	4.77	0.03424	0	NA	100100	EXOSC10
7.92	-0.649	-3.08	0.00354	0.033776	9.47	0.00354	-1	NA	100102	FLJ23598
14.08	-0.18	-0.59	0.55557	0.754646	0.35	0.55557	0	NA	100103	GNGT1
7.26	0.186	0.88	0.38227	0.618738	0.78	0.38227	0	Celera Transcript hCT1652457.1	100105	NA
7.25	0.03	0.14	0.89094	0.950497	0.02	0.89094	0	NA	100111	KLK7
7.77	-0.282	-1.23	0.22632	0.462685	1.5	0.22632	0	Celera Transcript hCT2346028	100117	NA
12.22	0.071	0.43	0.6687	0.830824	0.19	0.6687	0	NA	100120	PGD
16.92	-0.004	-0.05	0.96319	0.984455	0	0.96319	0	NA	100137	PSMB4
9.13	0.053	0.26	0.7989	0.904962	0.07	0.7989	0	NA	100145	FLJ34658
11.65	0.292	2.64	0.01124	0.072077	6.99	0.01124	0	Celera Transcript hCT2347617	100146	NA
8.06	0.298	1.58	0.12011	0.318311	2.51	0.12011	0	NA	100151	KCNIP1
7.45	0.268	0.96	0.34301	0.583498	0.92	0.34301	0	NA	100159	GAB3
7.56	0.597	3.05	0.00386	0.035833	9.28	0.00386	1	NA	100160	GJB6
10.01	-0.135	-0.47	0.64074	0.812729	0.22	0.64074	0	NA	100172	HD
8.41	-0.029	-0.1	0.92172	0.965969	0.01	0.92172	0	NA	100181	AIM2
9	-0.001	0	0.99775	0.998973	0	0.99775	0	Celera Transcript hCT1959585	100182	NA
12.27	0.003	0.03	0.9727	0.9889	0	0.9727	0	NA	100184	KIAA0652
12.91	-0.082	-0.75	0.4573	0.680577	0.56	0.4573	0	NA	100195	DNCLI1
9.21	0.1	0.31	0.75672	0.881822	0.1	0.75672	0	NA	100214	RAP2A
11.15	-0.371	-2.17	0.03559	0.150344	4.69	0.03559	0	NA	100215	ZNF160
8.26	0.22	1.06	0.29584	0.536757	1.12	0.29584	0	NA	100244	MPP6
15.94	0.271	2.69	0.00986	0.06595	7.26	0.00986	0	Celera Transcript hCT2347353	100249	NA
10.82	0.475	4.08	0.00018	0.004466	16.65	0.00018	1	NA	100259	FLJ21839
8.54	-0.183	-0.6	0.54922	0.749828	0.36	0.54922	0	Celera Transcript hCT2346638	100260	NA
7.89	0.138	0.97	0.33629	0.577366	0.94	0.33629	0	Celera Transcript hCT2347273	100269	NA
7.32	-0.245	-1.24	0.21956	0.454108	1.55	0.21956	0	Celera hCG1746386.3	100277	NA
7.28	-0.043	-0.19	0.85144	0.931407	0.04	0.85144	0	NA	100288	AFM
7.27	-0.181	-0.8	0.42582	0.655775	0.65	0.42582	0	NA	100289	DEFB103A
9.68	0.184	0.5	0.62288	0.801179	0.25	0.62288	0	NA	100295	CRABP1
8.44	0.047	0.15	0.87799	0.944038	0.02	0.87799	0	NA	100297	DKFZp313N0621
7.87	0.323	1.1	0.27535	0.516019	1.22	0.27535	0	NA	100302	ALMS1
7.79	0.073	0.42	0.67685	0.836109	0.18	0.67685	0	Celera Transcript hCT2332531,Celera Transcript hCT2332532	100309	NA
8.06	-0.705	-2.92	0.00542	0.044957	8.53	0.00542	-1	NA	100312	SERPINA5
13.5	0.078	0.67	0.50642	0.717975	0.45	0.50642	0	NA	100313	CPSF5
8.16	-0.682	-2.96	0.00491	0.042266	8.75	0.00491	-1	Celera Transcript hCT2347190	100328	NA
7.94	-0.219	-1	0.32383	0.56509	0.99	0.32383	0	NA	100336	CYP4Z1
15.05	-0.212	-1.42	0.16128	0.378425	2.03	0.16128	0	NA	100340	KIAA1033
13.63	-0.126	-0.97	0.33575	0.576638	0.95	0.33575	0	NA	100344	POLS
15.97	-0.165	-1.26	0.21428	0.446944	1.59	0.21428	0	Celera Transcript hCT1642161.2	100348	NA
7.51	0.343	1.55	0.12709	0.328558	2.42	0.12709	0	NA	100352	LOC51333
13.5	0.071	0.73	0.46664	0.687443	0.54	0.46664	0	NA	100356	RANBP1
8.75	0.14	0.58	0.56202	0.759054	0.34	0.56202	0	Celera Transcript hCT2347152	100357	NA
9.07	-0.069	-0.34	0.73775	0.87115	0.11	0.73775	0	NA	100365	DKFZP564I0422
8.25	0.492	2.79	0.00778	0.056741	7.76	0.00778	0	Celera Transcript hCT2346235	100369	NA
15.77	-0.173	-1.51	0.13673	0.342932	2.3	0.13673	0	NA	100384	CYB5
14.93	0.208	2.2	0.03302	0.143635	4.84	0.03302	0	NA	100385	ZFR
8.64	-0.029	-0.15	0.88146	0.945917	0.02	0.88146	0	Celera Transcript hCT2347365	100388	NA
9.63	-0.792	-2.94	0.00513	0.043436	8.65	0.00513	-1	Celera Transcript hCT2285289.1	100398	NA
7.66	0.348	1.58	0.1219	0.320639	2.48	0.1219	0	Celera Transcript hCT15238.3	100404	NA
10.14	0.247	1.71	0.09498	0.277465	2.91	0.09498	0	NA	100405	KIAA0562
11.54	0.133	0.67	0.5056	0.717504	0.45	0.5056	0	NA	100410	LOC339483
9.5	-0.446	-1.94	0.0587	0.206319	3.76	0.0587	0	NA	100415	LOC134145
7.71	0.153	0.59	0.56039	0.757833	0.34	0.56039	0	NA	100419	FLJ90579
13.14	-0.013	-0.08	0.93609	0.972905	0.01	0.93609	0	Celera Transcript hCT2306708.1	100423	NA
7.36	0.471	1.8	0.07901	0.247556	3.23	0.07901	0	NA	100426	ARSH
14.39	-0.124	-1.3	0.20077	0.431147	1.69	0.20077	0	NA	100430	MSH6
12.11	-0.332	-3.47	0.00117	0.016363	12.01	0.00117	-1	NA	100431	PEX13
8.53	-0.205	-0.76	0.4524	0.677185	0.57	0.4524	0	NA	100436	ITGB6
12.95	-0.105	-0.79	0.43499	0.662876	0.62	0.43499	0	NA	100442	KLF13
9.49	-0.29	-1.22	0.22983	0.466617	1.48	0.22983	0	NA	100451	ZNF132
13.36	-0.278	-2.17	0.03569	0.150584	4.69	0.03569	0	NA	100454	PAK1IP1
10.77	-0.423	-2.6	0.01251	0.077111	6.77	0.01251	0	NA	100455	BM039
8.44	0.583	3.05	0.00381	0.03556	9.3	0.00381	1	NA	100458	FLJ10847
13.28	0.325	3.08	0.00354	0.03377	9.47	0.00354	1	NA	100460	DDX24
9.33	-0.51	-2.21	0.03186	0.140344	4.9	0.03186	0	Celera hCG1759124.3	100472	NA
7.45	0.394	1.63	0.10991	0.301946	2.66	0.10991	0	Celera Transcript hCT1817282.1	100473	NA
11.9	0.181	0.81	0.42384	0.654216	0.65	0.42384	0	NA	100485	ZCCHC6
7.46	-0.271	-1.3	0.20072	0.431128	1.69	0.20072	0	Celera Transcript hCT1657977.1	100492	NA
11.21	0.042	0.2	0.84519	0.927999	0.04	0.84519	0	Celera Transcript hCT2346300.1	100494	NA
