A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
10.09	0.447	4.59	1e-04	0.047461	21.11	1e-04	1	1007_s_at	1007_s_at	DDR1
5.76	0.009	0.16	0.87461	0.999759	0.03	0.87461	0	1053_at	1053_at	RFC2
7.7	-0.047	-0.51	0.61577	0.999759	0.26	0.61577	0	117_at	117_at	HSPA6
9.48	-0.034	-0.43	0.66847	0.999759	0.19	0.66847	0	121_at	121_at	PAX8
6.92	0.008	0.11	0.91505	0.999759	0.01	0.91505	0	1294_at	1294_at	MIR5193
6.16	0.035	0.47	0.64482	0.999759	0.22	0.64482	0	1316_at	1316_at	THRA
6.45	0.175	2.39	0.02461	0.644653	5.71	0.02461	0	1320_at	1320_at	PTPN21
7.18	0.034	0.38	0.70733	0.999759	0.14	0.70733	0	1438_at	1438_at	EPHB3
7.76	-0.076	-1.11	0.27778	0.999759	1.23	0.27778	0	1487_at	1487_at	ESRRA
7.53	-0.006	-0.07	0.94245	0.999759	0.01	0.94245	0	1494_f_at	1494_f_at	CYP2A6
9.36	-0.14	-1.37	0.18286	0.999759	1.88	0.18286	0	1598_g_at	1598_g_at	GAS6
8.71	0.045	0.47	0.64435	0.999759	0.22	0.64435	0	160020_at	160020_at	MMP14
7.54	0.048	0.63	0.53734	0.999759	0.39	0.53734	0	1729_at	1729_at	TRADD
6.4	0.062	0.86	0.3978	0.999759	0.74	0.3978	0	1773_at	1773_at	CHURC1-FNTB
5.37	-0.091	-1.04	0.30693	0.999759	1.09	0.30693	0	177_at	177_at	PLD1
9.67	0.021	0.34	0.73712	0.999759	0.12	0.73712	0	179_at	179_at	DTX2P1-UPK3BP1-PMS2P11
6.26	0.209	1.86	0.07397	0.901834	3.47	0.07397	0	1861_at	1861_at	BAD
8.75	0.143	1.03	0.31473	0.999759	1.05	0.31473	0	200593_s_at	200593_s_at	HNRNPU
10.23	0.012	0.09	0.92815	0.999759	0.01	0.92815	0	200594_x_at	200594_x_at	HNRNPU
8.55	0.141	1.04	0.30707	0.999759	1.09	0.30707	0	200595_s_at	200595_s_at	EIF3A
9.18	0.114	0.51	0.61617	0.999759	0.26	0.61617	0	200596_s_at	200596_s_at	EIF3A
6.62	-0.074	-0.71	0.48439	0.999759	0.5	0.48439	0	200597_at	200597_at	EIF3A
9.75	0.078	0.46	0.65237	0.999759	0.21	0.65237	0	200598_s_at	200598_s_at	HSP90B1
11.34	0.03	0.35	0.72742	0.999759	0.12	0.72742	0	200599_s_at	200599_s_at	HSP90B1
8.73	0.077	0.51	0.61736	0.999759	0.26	0.61736	0	200600_at	200600_at	MSN
9.94	0.048	0.39	0.70021	0.999759	0.15	0.70021	0	200601_at	200601_at	ACTN4
7.91	-0.262	-1.4	0.17286	0.999759	1.97	0.17286	0	200602_at	200602_at	APP
9.22	-0.054	-0.37	0.71344	0.999759	0.14	0.71344	0	200603_at	200603_at	PRKAR1A
8.41	0.187	1.08	0.28917	0.999759	1.17	0.28917	0	200604_s_at	200604_s_at	PRKAR1A
9.93	0.031	0.17	0.86257	0.999759	0.03	0.86257	0	200605_s_at	200605_s_at	PRKAR1A
11.12	0.145	1.14	0.26349	0.999759	1.31	0.26349	0	200606_at	200606_at	DSP
7.85	0.116	0.98	0.33864	0.999759	0.95	0.33864	0	200607_s_at	200607_s_at	RAD21
7.84	-0.041	-0.2	0.8417	0.999759	0.04	0.8417	0	200608_s_at	200608_s_at	RAD21
9.51	-0.026	-0.29	0.77121	0.999759	0.09	0.77121	0	200609_s_at	200609_s_at	WDR1
9.92	0.09	0.57	0.57628	0.999759	0.32	0.57628	0	200610_s_at	200610_s_at	NCL
9.52	0.048	0.64	0.52567	0.999759	0.41	0.52567	0	200611_s_at	200611_s_at	WDR1
8.53	0.034	0.24	0.81469	0.999759	0.06	0.81469	0	200612_s_at	200612_s_at	AP2B1
9.92	0.002	0.01	0.98901	0.999759	0	0.98901	0	200613_at	200613_at	AP2M1
11.58	-0.058	-0.47	0.64087	0.999759	0.22	0.64087	0	200614_at	200614_at	CLTC
7.49	-0.077	-1	0.32898	0.999759	0.99	0.32898	0	200615_s_at	200615_s_at	AP2B1
6.72	0.011	0.13	0.90052	0.999759	0.02	0.90052	0	200616_s_at	200616_s_at	MLEC
8.7	-0.083	-0.79	0.43549	0.999759	0.63	0.43549	0	200617_at	200617_at	MLEC
9.11	-0.253	-2.18	0.03889	0.750538	4.74	0.03889	0	200618_at	200618_at	LASP1
9.03	0.093	0.68	0.50228	0.999759	0.46	0.50228	0	200619_at	200619_at	SF3B2
11.48	0.138	1.1	0.2821	0.999759	1.21	0.2821	0	200620_at	200620_at	TMEM59
10.03	-0.106	-0.72	0.4767	0.999759	0.52	0.4767	0	200621_at	200621_at	CSRP1
8.01	-0.078	-0.73	0.46951	0.999759	0.54	0.46951	0	200622_x_at	200622_x_at	CALM1
8.65	-0.169	-1.99	0.05747	0.844374	3.96	0.05747	0	200623_s_at	200623_s_at	CALM1
9.21	0.018	0.11	0.9156	0.999759	0.01	0.9156	0	200624_s_at	200624_s_at	MATR3
10.13	-0.05	-0.46	0.64698	0.999759	0.21	0.64698	0	200625_s_at	200625_s_at	CAP1
8.75	-0.049	-0.3	0.76788	0.999759	0.09	0.76788	0	200626_s_at	200626_s_at	MATR3
10.43	0.021	0.19	0.85074	0.999759	0.04	0.85074	0	200627_at	200627_at	PTGES3
9.34	0.04	0.4	0.68898	0.999759	0.16	0.68898	0	200628_s_at	200628_s_at	WARS
9.24	0.143	1.03	0.31355	0.999759	1.06	0.31355	0	200629_at	200629_at	WARS
9.95	-0.04	-0.49	0.62879	0.999759	0.24	0.62879	0	200630_x_at	200630_x_at	SET
9.61	-0.053	-0.36	0.7243	0.999759	0.13	0.7243	0	200631_s_at	200631_s_at	SET
9.91	0.739	3.46	0.00193	0.231574	11.96	0.00193	0	200632_s_at	200632_s_at	NDRG1
12.37	-0.138	-1.61	0.12069	0.999759	2.58	0.12069	0	200633_at	200633_at	UBB
10.7	-0.127	-0.56	0.57963	0.999759	0.31	0.57963	0	200634_at	200634_at	PFN1
10.32	-0.195	-1.08	0.28827	0.999759	1.18	0.28827	0	200635_s_at	200635_s_at	PTPRF
10.65	-0.159	-0.89	0.38186	0.999759	0.79	0.38186	0	200636_s_at	200636_s_at	PTPRF
9.66	-0.152	-0.65	0.51862	0.999759	0.43	0.51862	0	200637_s_at	200637_s_at	PTPRF
9.77	-0.011	-0.04	0.97091	0.999759	0	0.97091	0	200638_s_at	200638_s_at	YWHAZ
10.55	-0.038	-0.32	0.7488	0.999759	0.1	0.7488	0	200639_s_at	200639_s_at	YWHAZ
10.68	-0.046	-0.39	0.70008	0.999759	0.15	0.70008	0	200640_at	200640_at	YWHAZ
9.56	-0.001	0	0.99741	0.999759	0	0.99741	0	200641_s_at	200641_s_at	YWHAZ
10.86	-0.537	-3.4	0.00222	0.240825	11.58	0.00222	0	200642_at	200642_at	SOD1
8.88	-0.094	-0.78	0.44389	0.999759	0.6	0.44389	0	200643_at	200643_at	HDLBP
8.68	0.1	0.52	0.60482	0.999759	0.27	0.60482	0	200644_at	200644_at	MARCKSL1
10.8	-0.039	-0.49	0.6297	0.999759	0.24	0.6297	0	200645_at	200645_at	GABARAP
6.11	0.098	0.52	0.60557	0.999759	0.27	0.60557	0	200646_s_at	200646_s_at	NUCB1
9.69	-0.028	-0.21	0.83464	0.999759	0.04	0.83464	0	200647_x_at	200647_x_at	EIF3C
8	-0.297	-1.47	0.15366	0.999759	2.16	0.15366	0	200648_s_at	200648_s_at	GLUL
9.42	-0.098	-0.77	0.44718	0.999759	0.6	0.44718	0	200649_at	200649_at	NUCB1
11	0.276	1.33	0.1951	0.999759	1.77	0.1951	0	200650_s_at	200650_s_at	LDHA
10.59	-0.125	-0.67	0.51116	0.999759	0.44	0.51116	0	200651_at	200651_at	GNB2L1
9.7	-0.005	-0.04	0.97118	0.999759	0	0.97118	0	200652_at	200652_at	SSR2
