A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
14.39	0.062	2.36	0.02268	0.14444	5.55	0.02268	0	1	ILMN_1343291	EEF1A1
12.07	-0.435	-4.5	4e-05	0.003759	20.26	4e-05	-1	2	ILMN_1343295	GAPDH
5.25	-0.019	-1.03	0.31044	0.591278	1.05	0.31044	0	3	ILMN_1651199	LOC643334
5.67	-0.022	-0.7	0.48628	0.733535	0.49	0.48628	0	4	ILMN_1651209	SLC35E2
5.21	0.021	1.1	0.27891	0.559666	1.2	0.27891	0	5	ILMN_1651210	DUSP22
5.41	-0.028	-0.81	0.42277	0.688381	0.65	0.42277	0	6	ILMN_1651221	LOC642820
11.49	0.196	3.18	0.00256	0.042246	10.14	0.00256	1	7	ILMN_1651228	RPS28
7.66	-0.055	-0.6	0.55136	0.777976	0.36	0.55136	0	8	ILMN_1651229	IPO13
5.19	0.018	0.72	0.47368	0.725054	0.52	0.47368	0	9	ILMN_1651230	TESSP1
6.13	-0.009	-0.1	0.91693	0.968206	0.01	0.91693	0	10	ILMN_1651232	LOC653113
5.41	0.003	0.1	0.91699	0.968206	0.01	0.91699	0	11	ILMN_1651235	AFAP
5.52	0.02	0.96	0.34414	0.622704	0.91	0.34414	0	12	ILMN_1651236	GGTLA4
5.72	0.033	0.35	0.72788	0.881252	0.12	0.72788	0	13	ILMN_1651237	CDT1
5.33	0.071	2.04	0.04677	0.21525	4.17	0.04677	0	14	ILMN_1651238	TRPV1
5.23	-0.035	-1.41	0.16573	0.424769	1.98	0.16573	0	15	ILMN_1651249	LOC652879
6.54	0.177	0.76	0.45101	0.70916	0.58	0.45101	0	16	ILMN_1651253	LOC644150
11.52	0.362	1.75	0.08652	0.300485	3.06	0.08652	0	17	ILMN_1651254	LPP
5.93	0.084	1.54	0.12999	0.372604	2.37	0.12999	0	18	ILMN_1651259	UGP2
11.89	0.203	3.85	0.00035	0.012809	14.8	0.00035	1	20	ILMN_1651262	HNRPAB
6.16	-0.001	-0.02	0.98218	0.993873	0	0.98218	0	21	ILMN_1651268	LOH12CR1
