A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
-0.1	0.146	1.26	0.21915	0.403668	1.59	0.21915	0	4	A_23_P117082	HEBP1
-0.26	0.375	2.65	0.01371	0.06577	7.01	0.01371	0	5	A_33_P3246448	KCNE4
-0.03	0.007	0.09	0.93023	0.962298	0.01	0.93023	0	6	A_33_P3318220	BPIFA3
0.03	-0.218	-2.16	0.03995	0.133431	4.69	0.03995	0	7	A_33_P3236322	LOC100129869
-0.08	-0.027	-0.38	0.7104	0.826251	0.14	0.7104	0	8	A_33_P3319925	IRG1
-0.18	-0.204	-0.66	0.5139	0.683982	0.44	0.5139	0	9	A_21_P0000509	SNAR-G2
0.02	-0.152	-1.36	0.18606	0.363007	1.85	0.18606	0	10	A_21_P0000744	LOC100506844
0.08	0.324	2.53	0.01781	0.078509	6.42	0.01781	0	11	A_24_P215804	CKLF
-0.03	-0.028	-0.27	0.78942	0.879474	0.07	0.78942	0	12	A_23_P110167	MGST2
0.03	0.3	2.84	0.00884	0.049548	8.04	0.00884	1	13	A_33_P3211513	CLK1
-0.04	-0.029	-0.35	0.72626	0.837188	0.13	0.72626	0	14	A_23_P103349	OCLM
0.07	0.141	1.27	0.21429	0.397749	1.62	0.21429	0	15	A_32_P61480	CASC2
0.12	0.105	1.11	0.27802	0.469335	1.23	0.27802	0	16	A_33_P3788124	PWRN1
-0.1	0.264	1.76	0.08963	0.225728	3.11	0.08963	0	17	A_33_P3414202	MBNL3
0.03	0.047	0.48	0.63814	0.775719	0.23	0.63814	0	18	A_33_P3316686	CYB5R4
-0.72	-0.031	-0.13	0.89874	0.944714	0.02	0.89874	0	19	A_33_P3300975	HOXC4
-0.04	0.307	3.75	0.00091	0.011717	14.09	0.00091	1	20	A_33_P3263061	AK3
0.1	-0.386	-3.17	0.00393	0.029516	10.06	0.00393	-1	22	A_24_P278460	FAR1
-0.01	0.253	1.46	0.15741	0.325661	2.12	0.15741	0	24	A_21_P0014651	LOC100129203
0.02	-0.289	-2.31	0.02927	0.108369	5.34	0.02927	0	25	A_24_P286898	MAPK8
-0.13	0.382	4.27	0.00024	0.005635	18.22	0.00024	1	26	A_23_P340890	THAP3
0.16	-0.27	-3.88	0.00066	0.009729	15.03	0.00066	-1	28	A_21_P0010885	TMEM14B
-0.09	0.377	3.51	0.00168	0.017322	12.34	0.00168	1	30	A_23_P89762	PHLPP1
0.66	1.076	2.21	0.03634	0.125238	4.88	0.03634	0	31	A_33_P3379396	KRT1
-0.18	0.251	1.1	0.28301	0.474803	1.2	0.28301	0	32	A_23_P109034	SDC4
-0.01	-0.019	-0.23	0.82193	0.900445	0.05	0.82193	0	33	A_21_P0013603	XLOC_l2_015038
-0.11	-0.045	-0.56	0.58135	0.734313	0.31	0.58135	0	35	A_33_P3364776	
-0.22	0.404	2.21	0.03643	0.125461	4.88	0.03643	0	36	A_33_P3732466	DKFZp547G183
-0.07	0.474	3.29	0.00295	0.024549	10.8	0.00295	1	37	A_33_P3402773	
-0.07	0.097	1.11	0.27777	0.468978	1.23	0.27777	0	38	A_33_P3636315	LOC286087
0.02	0.121	1.91	0.06762	0.189089	3.64	0.06762	0	39	A_33_P3365553	LOC389634
0.03	0.129	1.65	0.11104	0.259055	2.73	0.11104	0	40	A_23_P103837	UBAP2L
-0.33	0.208	1.41	0.17136	0.343803	1.98	0.17136	0	41	A_33_P3402035	TRAF4
0.02	-0.063	-0.75	0.45995	0.638662	0.56	0.45995	0	42	A_21_P0013668	FAM75C2
-0.11	-0.003	-0.03	0.97451	0.98681	0	0.97451	0	43	A_23_P61637	HAL
0.38	-0.163	-1.16	0.25599	0.445422	1.35	0.25599	0	44	A_23_P11543	FUCA1
-0.16	-0.066	-0.59	0.55864	0.717717	0.35	0.55864	0	45	A_23_P103765	FCER1A
0.66	-0.613	-3.34	0.00258	0.02259	11.16	0.00258	-1	47	A_33_P3219429	SMNDC1
0.13	0.246	2.33	0.028	0.105202	5.43	0.028	0	48	A_21_P0014120	LOC100507291
0.22	0.15	1.35	0.18872	0.366412	1.82	0.18872	0	49	A_33_P3372397	
0.13	-0.103	-1.19	0.24397	0.43184	1.42	0.24397	0	50	A_24_P120109	DHX57
-0.04	0.058	0.68	0.50402	0.676149	0.46	0.50402	0	51	A_21_P0013733	TCERG1L
0.08	0.433	2.7	0.01208	0.060725	7.3	0.01208	0	53	A_23_P118888	PAFAH1B1
-0.29	-0.113	-0.61	0.54826	0.710035	0.37	0.54826	0	55	A_33_P3350056	MT1X
0.19	-0.189	-0.82	0.41704	0.602186	0.68	0.41704	0	56	A_32_P202703	LOC389831
-0.13	-0.037	-0.25	0.8028	0.888079	0.06	0.8028	0	57	A_24_P787889	TMEM191B
0.02	0.081	0.81	0.42338	0.607833	0.66	0.42338	0	58	A_33_P3390097	
-0.1	0.031	0.37	0.71115	0.826807	0.14	0.71115	0	59	A_24_P238257	C17orf104
-0.13	-0.077	-0.79	0.43956	0.622235	0.62	0.43956	0	60	A_33_P3227225	
-0.01	0.551	4.21	0.00028	0.006019	17.75	0.00028	1	61	A_21_P0014626	RNF13
-0.12	0.372	2.76	0.01051	0.055392	7.63	0.01051	0	62	A_23_P203658	PICALM
-0.05	0.44	3.36	0.00244	0.021854	11.31	0.00244	1	63	A_33_P3354678	TRIM78P
0.48	0.36	1.31	0.20191	0.383107	1.72	0.20191	0	64	A_23_P102060	SSFA2
-0.09	-0.289	-1.61	0.12021	0.272652	2.58	0.12021	0	65	A_23_P206140	DNAJA4
-0.16	0.146	0.95	0.35021	0.542018	0.91	0.35021	0	66	A_23_P14389	ACIN1
-0.56	-0.377	-2.02	0.0538	0.162549	4.09	0.0538	0	67	A_23_P106016	PRKD1
-0.19	0.748	3.5	0.00174	0.017733	12.24	0.00174	1	68	A_33_P3323435	MAP3K9
-0.05	-0.098	-1.1	0.2827	0.474506	1.2	0.2827	0	69	A_21_P0011375	SORD
0.27	0.433	1.53	0.13854	0.299765	2.34	0.13854	0	71	A_33_P3228014	SCGB1D4
0.01	0.395	1.91	0.06685	0.187572	3.67	0.06685	0	72	A_21_P0014742	LOC100287813
