A	Coef	t	p.value	p.value.adj	F	F.p.value	CasevsControl	Genes.probe	Genes.id	Genes.symbol
9.86	-0.757	-0.94	0.35032	0.847661	0.89	0.35032	0	ILMN_1343289	ILMN_1343289	RPS9
10.97	-0.77	-0.83	0.40784	0.872186	0.69	0.40784	0	ILMN_1343290	ILMN_1343290	UBC
11.68	-0.846	-0.79	0.43391	0.880532	0.62	0.43391	0	ILMN_1343291	ILMN_1343291	EEF1A1
8.6	-0.677	-1.14	0.25963	0.797271	1.29	0.25963	0	ILMN_1343292	ILMN_1343292	TUBB2A
9.4	-0.537	-0.74	0.46007	0.889806	0.55	0.46007	0	ILMN_1343293	ILMN_1343293	TXN
11.44	-0.72	-0.72	0.47624	0.896703	0.51	0.47624	0	ILMN_1343294	ILMN_1343294	ACTB
9.25	-0.391	-0.54	0.59236	0.929813	0.29	0.59236	0	ILMN_1343295	ILMN_1343295	GAPDH
5.56	0.009	0.31	0.76103	0.965399	0.09	0.76103	0	ILMN_1651199	ILMN_1651199	NA
5.79	0.079	2.01	0.04833	0.475843	4.06	0.04833	0	ILMN_1651209	ILMN_1651209	SLC35E2
5.85	-0.052	-1.15	0.25326	0.79346	1.33	0.25326	0	ILMN_1651217	ILMN_1651217	PDCD1LG2
5.72	0.005	0.17	0.86492	0.982023	0.03	0.86492	0	ILMN_1651221	ILMN_1651221	EFCAB1
11.87	-0.324	-1.04	0.30393	0.824914	1.07	0.30393	0	ILMN_1651228	ILMN_1651228	RPS28
7.45	-0.059	-1.12	0.26646	0.802489	1.26	0.26646	0	ILMN_1651229	ILMN_1651229	IPO13
5.49	0.031	1.28	0.20706	0.755406	1.63	0.20706	0	ILMN_1651234	ILMN_1651234	SYT14
6.61	-0.017	-0.18	0.8544	0.981077	0.03	0.8544	0	ILMN_1651237	ILMN_1651237	CDT1
5.39	-0.022	-0.82	0.41604	0.875351	0.67	0.41604	0	ILMN_1651249	ILMN_1651249	PDE4DIP
9.81	-0.053	-0.69	0.49088	0.90241	0.48	0.49088	0	ILMN_1651254	ILMN_1651254	LPP
6.32	0.01	0.09	0.92596	0.991319	0.01	0.92596	0	ILMN_1651268	ILMN_1651268	BORCS5
7.92	0.043	0.82	0.41389	0.874127	0.68	0.41389	0	ILMN_1651278	ILMN_1651278	SNIP1
5.67	0.022	0.75	0.4534	0.887403	0.57	0.4534	0	ILMN_1651279	ILMN_1651279	NA
5.57	0.027	0.74	0.46381	0.891533	0.54	0.46381	0	ILMN_1651281	ILMN_1651281	C8orf89
5.8	-0.01	-0.33	0.74217	0.962968	0.11	0.74217	0	ILMN_1651288	ILMN_1651288	NA
